,Unnamed: 0,label,aspect_ratio,max_intensity,min_intensity,perimeter_skimage,area,mean_intensity,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,median,sum,variance,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
157,157,15,1.423201732601182,2.833333333333333,0.0,30.97056274847714,70,1.2285714285714289,11.37986562157165,7.995961050983755,0.9170852543182518,0.8974358974358975,0.711544457583865,0.6882304619732988,1.1455078125,86.00000000000001,0.425258799171842,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
158,158,16,1.316681647988901,3.0,0.1666666666666666,29.31370849898476,68,1.1151960784313726,10.766841895611332,8.17725523254357,0.994436936676639,0.9315068493150684,0.6505247806740725,0.7468654334770979,1.0458984375,75.83333333333333,0.35427641205736,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
160,160,18,1.464976415690181,8.333333333333334,0.0,58.04163056034261,208,2.267628205128205,20.232882530689125,13.81106365535379,0.7758789866169594,0.8888888888888888,0.7307876742259167,0.6469309568456726,1.8427734375,471.6666666666666,3.0080076592757727,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
161,161,19,1.3119365240472525,2.833333333333333,0.0,30.970562748477143,63,1.1587301587301588,10.36723460319693,7.902237961341741,0.8253767288864265,0.9,0.6473039308318708,0.7463195449016407,1.0458984375,72.99999999999997,0.4206349206349214,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
164,164,22,1.4191470531546813,6.666666666666667,0.0,46.04163056034261,152,2.319078947368421,16.63992582414597,11.725300621353076,0.9010565759281012,0.9212121212121211,0.7095564352659185,0.6989577659246293,2.0419921875,352.5000000000003,2.634637262305865,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
166,166,24,2.431415218363758,17.333333333333332,0.0,133.01828996322962,851,4.730121425773599,51.90640977387652,21.34822936939885,0.6043892112850814,0.8827800829875518,0.9115076564289568,0.4021589115859641,3.8349609375,4025.3333333333367,13.471328233604334,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
168,168,26,1.2390213568413142,3.5,0.0,56.49137802864845,177,1.184557438794727,17.024215941237717,13.74005044161484,0.6969775550621937,0.8719211822660099,0.5904303580662874,0.7775872773910039,1.1455078125,209.6666666666665,0.4742677481024941,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
169,169,27,1.1373412209580749,8.666666666666666,0.0,87.59797974644667,435,2.1019157088122604,25.32785810855002,22.26935737650862,0.712378724336499,0.9006211180124224,0.4763724128158079,0.8633809193206958,1.8427734375,914.3333333333336,2.1890260195043245,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
170,170,28,3.248836075152801,4.5,0.0,87.2842712474619,317,1.3301787592008414,37.31366266100667,11.485240189981488,0.5228741188587872,0.9378698224852072,0.9514502591344424,0.2898902568217552,1.1455078125,421.6666666666667,0.6923247569735633,34.0,0.3961554546485732,img13_20220513_ET358_56hpf_9.tif,0.0,2
176,176,6,2.891852240492476,2.76,0.24,90.66904755831214,400,1.1809,38.63484768596907,13.359896866442128,0.6114370454617525,0.9280742459396752,0.9383085628005736,0.341202104445121,1.121484398841858,472.3599999999995,0.1933064561403554,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,0.0,2
182,182,12,3.104503725338928,2.56,0.32,62.2842712474619,176,1.0604545454545455,27.17547262498314,8.753564185855925,0.5701193181612585,0.88,0.9467013385983926,0.3034370270279852,1.008203148841858,186.64,0.1617917922077932,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,0.0,2
184,184,14,2.9850851656614243,3.44,0.2,142.12489168102783,919,1.077519042437432,59.92087488683505,20.07342221794131,0.5717222339447583,0.9226907630522088,0.942218548117028,0.3258887275517892,1.0308594107627869,990.2399999999996,0.1373759732208693,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,2.0,2
186,186,16,2.042399772045528,2.76,0.16,166.68124086713186,1250,1.18048,57.44106640376266,28.124301221515324,0.5653877924225045,0.9090909090909092,0.8719358625428879,0.4823642839199673,1.121484398841858,1475.6000000000038,0.1903811945556398,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,0.0,2
194,194,1,1.061747363207903,3.875,0.0,36.14213562373095,100,1.41375,11.685113402358075,11.005549726116897,0.9620158811036372,0.9174311926605504,0.336051424845584,0.932490155586358,1.396484375,141.375,0.770737058080808,2.0,0.0541324579768516,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
196,196,3,1.0366708798560786,2.875,0.25,26.72792206135785,61,1.1147540983606556,9.028417278774912,8.70904879669074,1.0730236807041484,0.953125,0.2636211151038338,0.9528328184160112,0.990234375,68.0,0.4433828551912569,0.0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
198,198,5,1.3770967701682353,4.5,0.0,42.62741699796952,129,1.180232558139535,15.27593240599973,11.092853267046385,0.8921164334111217,0.9280575539568344,0.6875200653529995,0.7038569008131003,1.142578125,152.25,0.522926507994186,0.0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
199,199,6,1.16049302925194,4.125,0.0,40.38477631085024,124,1.4868951612903225,13.594071084062096,11.714048030796796,0.95542408658357,0.9393939393939394,0.5074134626889937,0.8543439153319097,1.396484375,184.375,0.7624030864804615,0.0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
212,212,4,2.3418269319868315,2.823529411764706,0.2352941176470588,99.59797974644664,514,1.2325474937056533,39.75730636053177,16.977047200837013,0.6511363257094458,0.9097345132743364,0.9042435785007074,0.4140371713498648,1.1865234375,633.5294117647054,0.2043402967646172,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
214,214,6,2.140936092352677,7.205882352941177,0.2058823529411764,231.51576464628795,2906,3.688433666653173,90.017454117068,42.0458389386802,0.6813093299484254,0.9534120734908136,0.8842122059838217,0.4566172104752151,4.1455078125,10718.588235294112,2.7560176130536163,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,2.0,2
216,216,8,1.8678790255883253,2.0,0.4411764705882353,34.14213562373095,84,1.0938375350140055,14.14383959999548,7.572138990928813,0.9055403018804472,0.9438202247191012,0.8446198128945911,0.5346317661942732,1.0693359375,91.88235294117652,0.1193662440170945,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
223,223,15,3.195730163936737,3.323529411764706,0.3823529411764705,149.53910524340094,925,1.4554848966613674,62.88017375090208,19.67630886377517,0.5198069013965532,0.8751182592242195,0.949780299517618,0.2978683674948721,1.4208984375,1346.3235294117642,0.301318062996267,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,2.0,2
233,233,3,1.9887928388621448,5.555555555555555,0.0,63.698484809834994,217,1.540194572452637,24.206763149118338,12.171586037572336,0.6720651784703394,0.8645418326693227,0.8643925511220383,0.4715159744732347,1.4134114384651184,334.22222222222223,0.8394977443165417,0.0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
242,242,12,1.8571291828823075,5.555555555555555,0.2222222222222222,70.18376618407356,310,1.5881720430107529,27.3041088023773,14.702320686168257,0.7908574659131662,0.9226190476190476,0.8426475549392448,0.5294388429965354,1.4134114384651184,492.33333333333337,0.799484082335458,0.0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
243,243,13,2.4640496760089894,5.777777777777778,0.0,93.84062043356592,360,1.705246913580247,34.21271975265768,13.884752440572491,0.5137249089202349,0.8716707021791767,0.9139459296309584,0.3915952538433312,1.4134114384651184,613.8888888888886,1.2481721249775508,0.0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,2.0,2
